No.	ID	Banco	Producto	Concepto	Tipo de comisión (usual (U) o eventual E)	Tasa 30 días	Tasa 60 días	Tasa 90 días	Min	Max	ME-Tasa Max.	ME-Tasa Min.	ME-Min	ME-Max	Observaciones	Web Banco	Web Tarifario	Contacto
1	Bancomercio	Banco de Comercio	1.1 Transferencias recibidas	a. Comisión por emisión y/o recepción	U	0.000546875			17.5	300					Hasta $ 15,000: 0% min $ 17.50 / De $ 15,000.01 a $ 50,000: 0.125% / De $ 50,000.01 a $ 500,000: 0.0625% min $ 62.50 max $ 150 / De $ 500,000 a más: 0.03125% max $ 300	http://www.bancomercio.com.pe/	http://www.bancomercio.com/repositorioaps/0/0/jer/manual_general_tarifas/files/Tarifario%20V_24%20del%2026_03_2015.pdf	Manuel Serrano Torres - Gerente de Negocios Internacionales y Corresponsalía | mserrano@bancomercio.com.pe | (511)513 7014 / 513 6000 | Av. Canaval y Moreyra No. 454 -452  San Isidro, Lima 27- Perú
2	Bancomercio	Banco de Comercio	1.1 Transferencias recibidas	b. Swift	U					20					-	http://www.bancomercio.com.pe/	http://www.bancomercio.com/repositorioaps/0/0/jer/manual_general_tarifas/files/Tarifario%20V_24%20del%2026_03_2015.pdf	Manuel Serrano Torres - Gerente de Negocios Internacionales y Corresponsalía | mserrano@bancomercio.com.pe | (511)513 7014 / 513 6000 | Av. Canaval y Moreyra No. 454 -452  San Isidro, Lima 27- Perú
3	Bancomercio	Banco de Comercio	1.1 Transferencias recibidas	c. Devolución	E					20					-	http://www.bancomercio.com.pe/	http://www.bancomercio.com/repositorioaps/0/0/jer/manual_general_tarifas/files/Tarifario%20V_24%20del%2026_03_2015.pdf	Manuel Serrano Torres - Gerente de Negocios Internacionales y Corresponsalía | mserrano@bancomercio.com.pe | (511)513 7014 / 513 6000 | Av. Canaval y Moreyra No. 454 -452  San Isidro, Lima 27- Perú
4	BCP	Banco de Crédito del Perú	1.1 Transferencias recibidas	a. Con Abono en Cuenta	U	0.005000000			20	100					Por operación. Del BCI Chile $ 11 / De otros bancos $20. En caso de Pago en Billetes M.E., la tasa es 0.5% min $20 y max $ 100	https://www.viabcp.com/wps/portal/viabcpp/empresas	https://ww3.viabcp.com/connect/Nuestrobanco/pdf2006/Transferencias_ok.PDF	Tomás Kanashiro / David Pajares Zalvidea - Funcionario | tkanashiro@bcp.com.pe / dpajares@bcp.com.pe | (511) 612 3456 ext. 35729 / 612 3456 | Calle Las Camelias 750 piso 9, San Isidro
5	Financiero	Banco Financiero	1.1 Transferencias recibidas	a. Comisión por operación	U	0.001250000			20	50					No se cobra si son operaciones entre Banco Financiero Perú y Banco Pichincha	http://www.financiero.com.pe/	http://www.financiero.com.pe/Docs//TARIFARIOGENERAL_250315.pdf	Fabrizio Vásquez y/o Sergio Urquiaga - Funcionario | fvasquez@financiero.com.pe / surquiaga@financiero.com.pe | (511) 612-2000 Ext. 3629/3795 | Av. Jorge Basadre 310 Piso 3 - San Isidro, Lima 27
6	GNB	Banco GNB	1.1 Transferencias recibidas	a. Comisión por operación	U	0.00125			15	250					Sobre el importe transferido por cada operación	http://www.bancognb.com.pe/	http://www.bancognb.com.pe/main/download?file=peru%2Fbanca_empresa%2Fservicios_cash_management%2Ftransferencias_exterior%2Ftarifario_transferencias_con_el_exterior_agencia_02_06_14.pdf	Martha Manrique y/o Jaquelinne Heraud - Funcionario | martha.manrique@bancognb.com.pe / jaquelinne.heraud@bancognb.com.pe | (511) 616-4722 | Av. Rivera Navarrete 501, piso 3 - Lima
7	GNB	Banco GNB	1.1 Transferencias recibidas	b. Comisión por devolución	E				20						$20.00 eq. S/. 60.00	http://www.bancognb.com.pe/	http://www.bancognb.com.pe/main/download?file=peru%2Fbanca_empresa%2Fservicios_cash_management%2Ftransferencias_exterior%2Ftarifario_transferencias_con_el_exterior_agencia_02_06_14.pdf	Martha Manrique y/o Jaquelinne Heraud - Funcionario | martha.manrique@bancognb.com.pe / jaquelinne.heraud@bancognb.com.pe | (511) 616-4722 | Av. Rivera Navarrete 501, piso 3 - Lima
8	GNB	Banco GNB	1.1 Transferencias recibidas	c. Comisión por investigación	E				50						-	http://www.bancognb.com.pe/	http://www.bancognb.com.pe/main/download?file=peru%2Fbanca_empresa%2Fservicios_cash_management%2Ftransferencias_exterior%2Ftarifario_transferencias_con_el_exterior_agencia_02_06_14.pdf	Martha Manrique y/o Jaquelinne Heraud - Funcionario | martha.manrique@bancognb.com.pe / jaquelinne.heraud@bancognb.com.pe | (511) 616-4722 | Av. Rivera Navarrete 501, piso 3 - Lima
9	BanBif	Banco Interamericano de Finanzas	1.1 Transferencias recibidas	a. Comisión por trasferencia del exterior	U					20					Se cobra a la recepción de los fondos	http://www.banbif.com.pe/	http://www.banbif.com.pe/tarifario_general/documentos/ni_trans_giros.swf	Ana Cecilia del Castillo - Jefe Comercio Exterior | adelcastillo@bif.com.pe | (511) 613 4935 | Av. Rivera Navarrete 600, San Isidro
10	BanBif	Banco Interamericano de Finanzas	1.1 Transferencias recibidas	b. Investigaciones a solicitud del banco del ordenante	E					10					Se cobra culminando el trámite	http://www.banbif.com.pe/	http://www.banbif.com.pe/tarifario_general/documentos/ni_otros.swf	Ana Cecilia del Castillo - Jefe Comercio Exterior | adelcastillo@bif.com.pe | (511) 613 4935 | Av. Rivera Navarrete 600, San Isidro
